Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
10.9183,0,0,0,0,-0.000921311,0.000169522,-1.13044e-05,2.6709e-07,0,0,0,0,0.00207571,-0.000402317,2.80997e-05,-6.85405e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.17458,-1,-0.107837,0.00805745,0.000427463,-0.001262,0.000358956,-3.42319e-05,1.09738e-06,2,0.251885,0.00479019,0.00161713,-0.000602043,2.96742e-05,1.83964e-06,-1.32225e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.20843,-1,0.195931,0.0144569,-0.000328253,-0.00046214,7.46081e-05,-5.2107e-06,1.40034e-07,4,0.105145,-0.0105802,0.000125163,0.000101596,-4.3213e-05,4.71939e-06,-1.6307e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.93759,1,0.145134,-0.0144569,-0.000219362,0.000740347,-0.00023507,2.46417e-05,-8.48176e-07,4,-0.115227,-0.0105884,-0.000112243,-0.00091848,0.000249093,-2.29834e-05,7.30016e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.8077,1,-0.145759,-0.00101112,0.000903005,-0.000503713,0.000119279,-1.0088e-05,2.85326e-07,2,-0.266932,-0.0009702,0.000889165,-0.00114767,0.00028922,-2.443e-05,6.86263e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
