Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
10.9416,0,0,0,0,0.00151358,-0.000277681,1.89569e-05,-4.62056e-07,0,0,0,0,0.00173017,-0.000363372,2.68732e-05,-6.88399e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.50178,2,0.31846,0.00368401,-0.00134012,-0.00305509,0.000529263,6.55243e-06,-4.387e-06,1,0.042467,-0.00670931,-0.000598439,0.00413193,-0.00230589,0.000431377,-2.73486e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.54934,3,0.0592054,-0.0330083,-0.000199721,-0.000764473,0.000273929,-3.11832e-05,1.25925e-06,1,-0.0896532,-0.0204073,0.000478383,-0.00344277,0.0014789,-0.000200653,9.04876e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.71788,2,-0.296815,-0.00609067,0.00315819,-0.00203551,0.000508703,-4.64567e-05,1.43605e-06,0,-0.0673515,0.00971299,-2.37834e-05,0.000449064,-0.000129676,1.17437e-05,-3.54065e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
