Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
14.8521,0,0,0,0,0.00341892,-0.000498588,2.61421e-05,-4.80712e-07,0,0,0,0,-0.000352522,5.66494e-05,-3.06468e-06,5.71346e-08,3,0,0,0,1.32248e-20,-3.6361e-21,2.87e-22,-6.87663e-24,0,0,0,0,0,0,0,0
13.8264,10,0.738619,-0.0245881,-0.00244906,0.00037997,-8.70578e-05,6.59388e-06,-1.5531e-07,0,0.166639,0.0196278,0.000511743,0.00345283,-0.000596173,3.54374e-05,-7.23956e-07,3,1.64638e-17,3.49033e-18,-1.40946e-19,1.29308e-19,-2.61863e-20,1.75865e-21,-3.9137e-23,0,0,0,0,0,0,0,0
13.8264,10,-0.840803,-0.0248016,0.00205656,-0.000932179,0.000193941,-1.29262e-05,2.82702e-07,10,0.604113,-0.0124008,-0.000886889,-0.000855115,0.000120085,-6.58754e-06,1.34141e-07,3,-1.59595e-29,4.94396e-18,5.64653e-31,-2.64235e-19,-3.2874e-20,-1.26098e-21,-4.59911e-23,0,0,0,0,0,0,0,0
14.8521,0,-0.128104,0.0313432,-0.000465221,-0.000513579,6.02134e-05,-2.71281e-06,4.45714e-08,10,-0.757084,-0.0437382,0.00472508,-0.0018611,0.000323708,-1.97903e-05,4.04286e-07,3,-1.56607e-17,3.49033e-18,1.48174e-19,0,0,0,0,0,0,0,0,0,0,0,0
