Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
10.9982,0,0,0,0,0.000916665,-0.000171973,1.17365e-05,-2.8307e-07,0,0,0,0,0.00180172,-0.000335901,2.26725e-05,-5.361e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.08495,1,0.121804,-0.00330487,-0.000379613,0.000272049,-0.000129213,1.45081e-05,-5.01724e-07,2,0.26318,0.00329803,0.00166562,-0.000739088,6.42365e-05,-1.06873e-06,-4.9316e-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.46885,1,-0.204778,-0.0174025,0.000807775,0.000323689,-3.69265e-05,1.7413e-06,-3.41116e-08,4,0.115762,-0.00894633,3.99445e-05,0.000463286,-0.000149369,1.45466e-05,-4.6404e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.10947,-1,-0.0789144,0.0216212,-7.16439e-05,-0.000634298,0.000113869,-9.18501e-06,2.79009e-07,4,-0.171052,-0.0143947,9.48018e-05,0.000490075,-8.21766e-05,5.59843e-06,-1.4176e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.1351,-1,-0.0411392,-0.016574,-0.000311345,1.75332e-07,8.21434e-06,-4.28871e-07,6.38071e-09,2,-0.21719,0.00253522,0.000233797,3.30009e-05,-4.01415e-06,1.47503e-07,-1.89246e-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.2949,-4,0.0850834,0.0227491,-0.000376899,2.30338e-05,-8.99414e-06,4.78797e-07,-7.29587e-09,0,-0.00919779,0.00188736,-0.000149154,5.38948e-06,-6.94665e-08,-6.35767e-10,1.78924e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
