Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
11.4672,0,0,0,0,0.000909761,-0.000135954,7.55307e-06,-1.51395e-07,0,0,0,0,0.00128601,-0.000246691,1.66697e-05,-3.92162e-07,1,0,0,0,2.51828e-19,-5.42425e-20,3.89147e-21,-9.38621e-23,0,0,0,0,0,0,0,0
4.43909,2,0.30941,-0.00362221,-0.00088404,-0.00574579,0.00228466,-0.000325024,1.63461e-05,1,0.0188233,-0.0145178,-1.28626e-05,0.00132778,-0.00032664,4.49861e-05,-2.74161e-06,1,-3.49563e-17,-7.38562e-19,7.7776e-19,6.16741e-18,-2.49893e-18,-8.56416e-19,5.57547e-20,0,0,0,0,0,0,0,0
10.8688,3,0.164307,0.00231834,0.000824108,0.000970594,-0.000257407,2.096e-05,-5.67791e-07,1,0.0379918,0.0193565,0.000639893,-0.000275924,7.20474e-06,1.69478e-07,-2.38733e-09,1,5.1479e-17,2.15281e-18,-2.53438e-18,-3.42251e-19,1.80729e-19,-1.1783e-20,1.15108e-22,0,0,0,0,0,0,0,0
4.50637,5,0.053407,-0.00889346,-0.000149845,0.000905247,-0.000718324,0.000160343,-1.13292e-05,2,-0.102161,-0.0349731,0.000341071,0.000195694,7.43971e-05,-9.76521e-06,5.81473e-08,1,5.95537e-17,4.42494e-18,-1.80648e-18,1.62769e-19,-1.00076e-18,-2.28981e-19,1.18301e-20,0,0,0,0,0,0,0,0
14.2041,5,-0.0619274,-0.00825371,0.000241365,-0.000471268,7.13376e-05,-3.87132e-06,7.35827e-08,1,-0.277025,0.00342799,0.00194314,0.000279675,-6.03324e-05,3.31956e-06,-6.07665e-08,1,-1.04442e-16,-1.02572e-17,2.49322e-18,1.7458e-19,-1.98976e-20,1.26875e-21,-4.37597e-23,0,0,0,0,0,0,0,0
11.423,2,-0.233191,0.00558252,0.000341046,0.000332308,-5.34018e-05,3.00603e-06,-6.00207e-08,0,-0.0543277,-0.0151471,-0.000203161,0.000889607,-0.000183403,1.35892e-05,-3.45464e-07,1,6.94375e-17,-5.0555e-18,-1.81716e-19,-1.38628e-19,4.04804e-20,-1.54335e-21,7.63755e-23,0,0,0,0,0,0,0,0
8.93759,1,0.0373819,0.00404644,-0.000312653,0.000741346,-0.000260975,2.74634e-05,-9.39401e-07,-2,-0.304047,0.000313031,0.000363641,0.000315923,-4.49058e-05,2.21733e-06,-3.34248e-08,1,-2.35817e-17,1.8473e-18,1.49088e-19,6.25888e-19,-1.46028e-19,2.0154e-20,-6.17545e-22,0,0,0,0,0,0,0,0
9.20843,1,-0.128762,-0.00866765,6.78175e-05,-0.00117292,0.000290641,-2.45765e-05,7.19928e-07,-4,-0.102339,0.0130778,-1.69572e-05,-0.000865417,0.000232544,-2.15912e-05,6.83324e-07,1,9.92203e-18,-6.50644e-19,-6.896e-20,9.02756e-20,-2.57214e-20,2.45259e-21,-7.86209e-23,0,0,0,0,0,0,0,0
8.94142,-1,-0.176472,0.0162192,0.000688164,1.30296e-05,5.70889e-06,-2.23422e-06,1.1412e-07,-4,0.130369,0.00951058,7.49897e-05,0.0010165,-0.000281575,2.64191e-05,-8.50259e-07,1,-3.97187e-18,2.92751e-19,3.02718e-20,-3.67784e-20,1.0855e-20,-1.07201e-21,3.55665e-23,0,0,0,0,0,0,0,0
10.7789,-1,0.140415,0.00449324,-0.000694398,0.000221311,-7.33172e-05,7.11605e-06,-2.15676e-07,-2,0.244064,-0.00120704,-0.00118312,0.0018308,-0.000421366,3.39986e-05,-9.3076e-07,1,1.37419e-18,-1.39248e-19,-6.84137e-21,0,0,0,0,0,0,0,0,0,0,0,0
